Date,cpi,ppi,fdi,total_index,agricultural_index,mineral_index,fuel_electric_index,gdp,export %,import %,pmi,LPI Index,New Financial Credit,Consumer Confidence Index,Total Retail Sales,Foreign Reserve,Money Supply,issuance of inv prod,insurance income,domestic phone sales,Consumption index (national),Consumption index (city),Consumption index (rural),Inv in fixed asset,Total Export,Total Import,Fiscal Revenue,Forex Loan,Deposit in currency,net currency inj,large bank reserve ratio,small bank reserve ratio
2005-01-01,2.4,7.1,,104.67,106.22,115.83,115.83,,32.7,24.6,,,,,,,,59.0,3117246.68,,,,,,,,,,,-480.0,,
2005-02-01,1.9,5.8,,104.82,107.92,111.23,118.83,,42.1,23.9,54.7,,,,,,,24.0,5512427.64,,,,,,,,,,,-1030.0,,
2005-03-01,4.0,5.4,,103.48,103.68,110.28,119.47,,30.0,-5.0,54.5,,,,,,,52.0,11241544.37,,,,,,,,,,,-1900.0,,
2005-04-01,2.7,5.6,,102.81,101.45,109.44,120.57,,32.7,18.6,57.9,,,,,,,55.0,13778977.81,,,,,,,,,,,-1820.0,,
2005-05-01,1.8,5.8,,103.16,100.88,110.27,122.53,,31.8,16.2,56.7,,,,,,,28.0,16248657.71,,,,,,,,,,,-1000.0,,
2005-06-01,1.8,5.9,,103.01,100.3,111.59,122.82,,30.3,15.0,52.9,,,,,,,58.0,20082949.37,,,,,,,,,,,-1300.0,,
2005-07-01,1.6,5.2,,102.72,100.23,110.98,123.57,,30.5,15.1,51.7,,,,,,,58.0,22259891.14,,,,,,,,,,,-740.0,,
2005-08-01,1.8,5.2,,102.13,99.59,110.84,123.23,,28.6,12.4,51.1,,,,,,,71.0,24604393.59,,,,,,,,,,,-930.0,,
2005-09-01,1.3,5.3,,101.43,98.83,109.18,121.32,,33.2,23.5,52.6,,,,,,,65.0,27773271.01,,,,,,,,,,,-780.0,,
2005-10-01,0.9,4.5,,100.93,98.32,106.42,120.77,,25.8,23.5,55.1,,,,,,,84.0,30372843.96,,,,,,,,,,,-1370.0,,
2005-11-01,1.2,4.0,,100.71,99.06,104.86,118.05,,29.5,23.4,54.1,,,,,,,37.0,33720520.15,,,,,,,,,,,-2342.0,,
2005-12-01,1.3,3.2,,100.76,100.01,105.63,115.67,,18.5,21.0,54.1,,,,,,,63.0,36462272.93,,,,,,,,,,,320.0,,
2006-01-01,1.6,3.2,,101.11,101.28,105.56,116.04,,18.2,22.2,54.3,,,,,,,78.0,4025725.92,,,,,,,,,,,2773.0,,
2006-02-01,1.9,3.0,,100.71,99.99,108.97,114.85,,28.4,25.4,52.1,,,,,,,54.0,7581090.6,,,,,,,,,,,-4983.0,,
2006-03-01,0.9,3.0,,100.77,101.02,107.94,114.64,,22.2,29.5,52.1,,,,,,,110.0,12149920.75,,,,,,,,,,,-2300.0,,
2006-04-01,0.8,2.5,,101.0,101.2,107.6,111.8,,28.2,21.1,55.3,,,,,,,112.0,15290926.15,,,,,,,,,,,20.0,,
